messages,label
Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,Non-Spam
"I just got home babe, are you still awake ?",Non-Spam
I dunno they close oredi not... ÌÏ v ma fan...,Non-Spam
Just buy a pizza. Meat lovers or supreme. U get to pick.,Non-Spam
"Ya, told..she was asking wats matter?",Non-Spam
"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",Non-Spam
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,Spam
Shall i send that exe to your mail id.,Non-Spam
Nope watching tv at home... Not going out. V bored...,Non-Spam
Don know..wait i will check it.,Non-Spam
"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",Non-Spam
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,Spam
We still on for tonight?,Non-Spam
May i call You later Pls,Non-Spam
Hasn't that been the pattern recently crap weekends?,Non-Spam
I have a sore throat. It's scratches when I talk,Non-Spam
Yes da. Any plm at ur office,Non-Spam
Are you not around or just still asleep? :V,Non-Spam
"Lol you forgot it eh ? Yes, I'll bring it in babe",Non-Spam
"Its good, we'll find a way",Non-Spam
Can not use foreign stamps in this country. Good lecture .,Non-Spam
Yup bathe liao...,Non-Spam
HAPPY NEW YEAR MY NO.1 MAN,Non-Spam
"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",Non-Spam
ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,Non-Spam
"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",Non-Spam
"No my blankets are sufficient, thx",Non-Spam
"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",Non-Spam
"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",Non-Spam
They just talking thats it de. They wont any other.,Non-Spam
Today am going to college so am not able to atten the class.,Non-Spam
I'm in class. Will holla later,Non-Spam
Easy ah?sen got selected means its good..,Non-Spam
Mmm thats better now i got a roast down me! iåÕd b better if i had a few drinks down me 2! Good indian?,Non-Spam
"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",Spam
"Come round, it's . ",Non-Spam
"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",Non-Spam
"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",Spam
I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?,Non-Spam
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,Spam
Are you available for soiree on June 3rd?,Non-Spam
Do u noe wat time e place dat sells 4d closes?,Non-Spam
"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",Non-Spam
Jay's getting really impatient and belligerent,Non-Spam
HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,Non-Spam
I'm at work. Please call,Non-Spam
Then u drive lor.,Non-Spam
Ard 515 like dat. Y?,Non-Spam
Tell me they're female :V how're you throwing in? We're deciding what all to get now,Non-Spam
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,Spam
I'm working technical support :)voice process.networking field.,Non-Spam
I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,Non-Spam
Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.,Non-Spam
We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,Spam
"That's fine, I'll bitch at you about it later then",Non-Spam
No my mum went 2 dentist.,Non-Spam
Once free call me sir. I am waiting for you.,Non-Spam
Meeting u is my work. . . Tel me when shall i do my work tomorrow,Non-Spam
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,Spam
Jus finish bathing...,Non-Spam
"alright, I'll make sure the car is back tonight",Non-Spam
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,Spam
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,Spam
Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,Non-Spam
Aight ill get on fb in a couple minutes,Non-Spam
Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,Non-Spam
Where can download clear movies. Dvd copies.,Non-Spam
"Yep, by the pretty sculpture",Non-Spam
Convey my regards to him,Non-Spam
Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,Non-Spam
You tell what happen dont behave like this to me. Ok no need to say,Non-Spam
Can u get pic msgs to your phone?,Non-Spam
Send to someone else :-),Non-Spam
Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,Non-Spam
For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,Non-Spam
"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",Non-Spam
I don't think he has spatula hands!,Non-Spam
You can never do NOTHING,Non-Spam
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,Spam
Goodmorning today i am late for  &lt;DECIMAL&gt; min.,Non-Spam
WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,Spam
Please da call me any mistake from my side sorry da. Pls da goto doctor.,Non-Spam
Where r we meeting?,Non-Spam
"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.",Non-Spam
Now only i reached home. . . I am very tired now. . I will come tomorro,Non-Spam
Ryder unsold.now gibbs.,Non-Spam
Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,Spam
Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,Non-Spam
NO GIFTS!! You trying to get me to throw myself off a cliff or something?,Non-Spam
Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.,Non-Spam
You busy or can I come by at some point and figure out what we're doing tomorrow,Non-Spam
"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",Non-Spam
Black shirt n blue jeans... I thk i c Ì_...,Non-Spam
Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,Non-Spam
Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,Spam
on hen night. Going with a swing,Non-Spam
"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",Non-Spam
From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,Non-Spam
No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),Non-Spam
S s..first time..dhoni rocks...,Non-Spam
Ok ill tell the company,Non-Spam
"Awesome, think we can get an 8th at usf some time tonight?",Non-Spam
So that means you still think of teju,Non-Spam
"No I'm good for the movie, is it ok if I leave in an hourish?",Non-Spam
No no:)this is kallis home ground.amla home town is durban:),Non-Spam
So lets make it saturday or monday as per convenience.,Non-Spam
Hey... What time is your driving on fri? We go for evaluation on fri?,Non-Spam
"449050000301 You have won a å£2,000 price! To claim, call 09050000301.",Spam
I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,Non-Spam
"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",Spam
Cancel cheyyamo?and get some money back?,Non-Spam
Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,Spam
Ok.ok ok..then..whats ur todays plan,Non-Spam
Good morning princess! How are you?,Non-Spam
Aiyar sorry lor forgot 2 tell u...,Non-Spam
For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,Spam
Not tonight mate. Catching up on some sleep. This is my new number by the way. ,Non-Spam
"Height of \Oh shit....!!\"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay",Non-Spam
Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,Spam
"So check your errors and if you had difficulties, do correction.",Non-Spam
Howz pain?hope u r fine..,Non-Spam
"Sorry, I'll call later",Non-Spam
Good morning princess! How are you?,Non-Spam
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",Non-Spam
U wake up already? Thanx 4 e tau sar piah it's quite nice.,Non-Spam
K do I need a login or anything,Non-Spam
Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,Spam
LOL ... No just was busy,Non-Spam
What * u wearing?,Non-Spam
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,Non-Spam
Oh:)as usual vijay film or its different?,Non-Spam
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,Spam
Have you had a good day? Mine was really busy are you up to much tomorrow night?,Non-Spam
And is there a way you can send shade's stuff to her. And she has been wonderful too.,Non-Spam
Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,Non-Spam
"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",Spam
Babe ? I lost you ... :-(,Non-Spam
Ok... Help me ask if she's working tmr a not?,Non-Spam
I'm not driving... Raining! Then i'll get caught at e mrt station lor.,Non-Spam
Not a drop in the tank,Non-Spam
(That said can you text him one more time?),Non-Spam
"Sorry, I'll call later",Non-Spam
Ok i go change also...,Non-Spam
1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m),Spam
Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,Non-Spam
"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up",Non-Spam
Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,Non-Spam
He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,Non-Spam
Hey! There's veggie pizza... :/,Non-Spam
Yun buying... But school got offer 2000 plus only...,Non-Spam
You sure your neighbors didnt pick it up,Non-Spam
K. I will sent it again,Non-Spam
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Spam
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",Non-Spam
Well. Im computerless. Time to make some oreo truffles,Non-Spam
"Haha yeah I see that now, be there in a sec",Non-Spam
I am not having her number sir,Non-Spam
Lol now I'm after that hot air balloon!,Non-Spam
Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,Non-Spam
Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,Non-Spam
"Yeah, we can probably swing by once my roommate finishes up with his girl",Non-Spam
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",Spam
Happy new years melody!,Non-Spam
ÌÏ dun need to pick ur gf?,Non-Spam
Yay! You better not have told that to 5 other girls either.,Non-Spam
Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,Non-Spam
"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",Non-Spam
Just nw i came to hme da..,Non-Spam
"I'm outside islands, head towards hard rock and you'll run into me",Non-Spam
To day class is there are no class.,Non-Spam
I'm in chennai velachery:),Non-Spam
You flippin your shit yet?,Non-Spam
"K give me a sec, breaking a  &lt;#&gt;  at cstore",Non-Spam
Am i that much bad to avoid like this?,Non-Spam
"Yo, you around? Just got my car back",Non-Spam
Annoying isn't it.,Non-Spam
"Goodmorning, Today i am late for  &lt;#&gt; min.",Non-Spam
There's no point hangin on to mr not right if he's not makin u happy,Non-Spam
All will come alive.better correct any good looking figure there itself..,Non-Spam
In that case I guess I'll see you at campus lodge,Non-Spam
We're done...,Non-Spam
Come to my home for one last time i wont do anything. Trust me.,Non-Spam
I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,Non-Spam
Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248,Spam
Ok... C ya...,Non-Spam
You have 1 new voicemail. Please call 08719181503,Spam
What he said is not the matter. My mind saying some other matter is there.,Non-Spam
He also knows about lunch menu only da. . I know,Non-Spam
"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",Non-Spam
NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,Non-Spam
Otherwise had part time job na-tuition..,Non-Spam
I know she called me,Non-Spam
"Me also da, i feel yesterday night  wait til 2day night dear.",Non-Spam
Thanks for understanding. I've been trying to tell sura that.,Non-Spam
WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,Spam
The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,Non-Spam
"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",Spam
I need you to be in my strong arms...,Non-Spam
Also maaaan are you missing out,Non-Spam
His bday real is in april .,Non-Spam
Guessin you ain't gonna be here before 9?,Non-Spam
Ok then i will come to ur home after half an hour,Non-Spam
"Yo, the game almost over? Want to go to walmart soon",Non-Spam
"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",Non-Spam
I'll text now! All creepy like so he won't think that we forgot,Non-Spam
"that would be good Û_ I'll phone you tomo lunchtime, shall I, to organise something?",Non-Spam
You have 1 new voicemail. Please call 08719181513.,Spam
"Damn, can you make it tonight or do you want to just wait til tomorrow",Non-Spam
K..k..i'm also fine:)when will you complete the course?,Non-Spam
"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",Non-Spam
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,Spam
Prakesh is there know.,Non-Spam
Teach me apps da. When you come to college.,Non-Spam
Rofl betta invest in some  anti aging products,Non-Spam
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,Spam
"sir, you will receive the account no another 1hr time. Sorry for the delay.",Non-Spam
Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,Spam
So Ì_'ll be submitting da project tmr rite?,Non-Spam
FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,Spam
Jus ans me lar. U'll noe later.,Non-Spam
I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,Non-Spam
have got * few things to do. may be in * pub later.,Non-Spam
1's finish meeting call me.,Non-Spam
Lol ok. I'll snatch her purse too.,Non-Spam
"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\""""",Non-Spam
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,Non-Spam
How much are we getting?,Non-Spam
Is ur paper in e morn or aft tmr?,Non-Spam
"Dear relieved of westonzoyland, all going to plan this end too!",Non-Spam
Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,Non-Spam
Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,Non-Spam
"I want to show you the world, princess :) how about europe?",Non-Spam
Nobody can decide where to eat and dad wants Chinese,Non-Spam
No shoot me. I'm in the docs waiting room. :/,Non-Spam
Now? I'm going out 4 dinner soon..,Non-Spam
Hello which the site to download songs its urgent pls,Non-Spam
"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! ",Non-Spam
Horrible gal. Me in sch doing some stuff. How come u got mc?,Non-Spam
"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",Non-Spam
"I call you later, don't have network. If urgnt, sms me.",Non-Spam
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,Non-Spam
Please CALL 08712402779 immediately as there is an urgent message waiting for you,Spam
Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,Non-Spam
Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,Non-Spam
What your plan for pongal?,Non-Spam
Just wait till end of march when el nino gets himself. Oh.,Non-Spam
"Not yet chikku..going to room nw, i'm in bus..",Non-Spam
Am also doing in cbe only. But have to pay.,Non-Spam
Honey boo I'm missing u.,Non-Spam
"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",Non-Spam
"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",Non-Spam
"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",Non-Spam
"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",Spam
Ok. No wahala. Just remember that a friend in need ...,Non-Spam
I will see in half an hour,Non-Spam
"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",Non-Spam
\Hey sorry I didntgive ya a a bellearlier hunny,Non-Spam
SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,Non-Spam
Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA,Spam
"Tee hee. Off to lecture, cheery bye bye.",Non-Spam
"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",Non-Spam
If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,Non-Spam
Ok...,Non-Spam
network operator. The service is free. For T & C's visit 80488.biz,Spam
Let me know how to contact you. I've you settled in a room. Lets know you are ok.,Non-Spam
Wot u up 2 u weirdo?,Non-Spam
Can do lor...,Non-Spam
Dont put your phone on silent mode ok,Non-Spam
Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..,Non-Spam
Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,Non-Spam
Oh ho. Is this the first time u use these type of words,Non-Spam
Am I the only one who doesn't stalk profiles?,Non-Spam
"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""",Non-Spam
Yes i thought so. Thanks.,Non-Spam
But if she.s drinkin i'm ok.,Non-Spam
"Just wondering, the others just took off",Non-Spam
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",Non-Spam
"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",Non-Spam
Happy new year to u too!,Non-Spam
"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",Non-Spam
Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite... ,Non-Spam
"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",Non-Spam
Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,Non-Spam
Happy birthday... May all ur dreams come true...,Non-Spam
Aiyah u did ok already lar. E nydc at wheellock?,Non-Spam
TELL HER I SAID EAT SHIT.,Non-Spam
Sure! I am driving but will reach my destination soon.,Non-Spam
"K so am I, how much for an 8th? Fifty?",Non-Spam
Your daily text from me ÛÒ a favour this time,Non-Spam
Great to hear you are settling well. So what's happenin wit ola?,Non-Spam
Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,Non-Spam
I tot u reach liao. He said t-shirt.,Non-Spam
"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT",Non-Spam
I cant pick the phone right now. Pls send a message,Non-Spam
Your right! I'll make the appointment right now.,Non-Spam
Designation is software developer and may be she get chennai:),Non-Spam
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,Spam
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",Spam
I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.,Non-Spam
"Ok, be careful ! Don't text and drive !",Non-Spam
"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",Non-Spam
U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,Non-Spam
I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,Non-Spam
How abt making some of the pics bigger?,Non-Spam
Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,Non-Spam
"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",Non-Spam
Why nothing. Ok anyway give me treat,Non-Spam
"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",Spam
Ok...,Non-Spam
Correct. So how was work today,Non-Spam
"Just sent again. Do you scream and moan in bed, princess?",Non-Spam
"I wake up long ago already... Dunno, what other thing?",Non-Spam
Oh just getting even with u.... u?,Non-Spam
I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?,Non-Spam
Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,Non-Spam
Yeah jay's sort of a fucking retard,Non-Spam
"Sorry, was in the bathroom, sup",Non-Spam
Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,Spam
My exam is for february 4. Wish you a great day.,Non-Spam
I dont know what to do to come out of this so only am ask questions like this dont mistake me.,Non-Spam
"Aight no rush, I'll ask jay",Non-Spam
Good Morning plz call me sir,Non-Spam
It's ok lar. U sleep early too... Nite...,Non-Spam
"Oh... Icic... K lor, den meet other day...",Non-Spam
"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",Non-Spam
"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",Non-Spam
"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that",Non-Spam
Then she buying today? ÌÏ no need to c meh...,Non-Spam
Aight sorry I take ten years to shower. What's the plan?,Non-Spam
Every monday..nxt week vl be completing..,Non-Spam
Might ax well im there.,Non-Spam
Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,Non-Spam
Yeah I'll try to scrounge something up,Non-Spam
Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,Non-Spam
Were somewhere on Fredericksburg,Non-Spam
Que pases un buen tiempo or something like that,Non-Spam
Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired,Non-Spam
She doesnt need any test.,Non-Spam
"Nothing much, chillin at home. Any super bowl plan?",Non-Spam
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk",Spam
Bugis oso near wat... ,Non-Spam
Yo theres no class tmrw right?,Non-Spam
Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,Non-Spam
"Goodnight, sleep well da please take care pa. Please.",Non-Spam
Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,Non-Spam
Convey my regards to him,Non-Spam
U ned to convince him tht its not possible witot hurting his feeling its the main,Non-Spam
"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",Non-Spam
If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,Non-Spam
"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",Non-Spam
Yo dude guess who just got arrested the other day,Non-Spam
Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,Non-Spam
What does the dance river do?,Non-Spam
"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.",Non-Spam
Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,Non-Spam
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",Spam
